Step,s,e,i,r
1361,1,0,0,249
1362,1,0,0,249
1363,1,0,0,249
1364,1,0,0,249
1365,1,0,0,249
1366,1,0,0,249
1367,1,0,0,249
1368,1,0,0,249
1369,1,0,0,249
1370,1,0,0,249
1371,1,0,0,249
1372,1,0,0,249
1373,1,0,0,249
1374,1,0,0,249
1375,1,0,0,249
1376,1,0,0,249
1377,1,0,0,249
1378,1,0,0,249
1379,1,0,0,249
1380,1,0,0,249
1381,1,0,0,249
1382,1,0,0,249
1383,1,0,0,249
1384,1,0,0,249
1385,1,0,0,249
1386,1,0,0,249
1387,1,0,0,249
1388,1,0,0,249
1389,1,0,0,249
1390,1,0,0,249
1391,1,0,0,249
1392,1,0,0,249
1393,1,0,0,249
1394,1,0,0,249
1395,1,0,0,249
1396,1,0,0,249
1397,1,0,0,249
1398,1,0,0,249
1399,1,0,0,249
1400,1,0,0,249
1401,1,0,0,249
1402,1,0,0,249
1403,1,0,0,249
1404,1,0,0,249
1405,1,0,0,249
1406,1,0,0,249
1407,1,0,0,249
1408,1,0,0,249
1409,1,0,0,249
1410,1,0,0,249
1411,1,0,0,249
1412,1,0,0,249
1413,1,0,0,249
1414,1,0,0,249
1415,1,0,0,249
1416,1,0,0,249
1417,1,0,0,249
1418,1,0,0,249
1419,1,0,0,249
1420,1,0,0,249
1421,1,0,0,249
1422,1,0,0,249
1423,1,0,0,249
1424,1,0,0,249
1425,1,0,0,249
1426,1,0,0,249
1427,1,0,0,249
1428,1,0,0,249
1429,1,0,0,249
1430,1,0,0,249
1431,1,0,0,249
1432,1,0,0,249
1433,1,0,0,249
1434,1,0,0,249
1435,1,0,0,249
1436,1,0,0,249
1437,1,0,0,249
1438,1,0,0,249
1439,1,0,0,249
1440,1,0,0,249
1441,1,0,0,249
1442,1,0,0,249
1443,1,0,0,249
1444,1,0,0,249
1445,1,0,0,249
1446,1,0,0,249
1447,1,0,0,249
1448,1,0,0,249
1449,1,0,0,249
1450,1,0,0,249
1451,1,0,0,249
1452,1,0,0,249
1453,1,0,0,249
1454,1,0,0,249
1455,1,0,0,249
1456,1,0,0,249
1457,1,0,0,249
1458,1,0,0,249
1459,1,0,0,249
1460,1,0,0,249
1461,1,0,0,249
1462,1,0,0,249
1463,1,0,0,249
1464,1,0,0,249
1465,1,0,0,249
1466,1,0,0,249
1467,1,0,0,249
1468,1,0,0,249
1469,1,0,0,249
1470,1,0,0,249
1471,1,0,0,249
1472,1,0,0,249
1473,1,0,0,249
1474,1,0,0,249
1475,1,0,0,249
1476,1,0,0,249
1477,1,0,0,249
1478,1,0,0,249
1479,1,0,0,249
1480,1,0,0,249
1481,1,0,0,249
1482,1,0,0,249
1483,1,0,0,249
1484,1,0,0,249
1485,1,0,0,249
1486,1,0,0,249
1487,1,0,0,249
1488,1,0,0,249
1489,1,0,0,249
1490,1,0,0,249
1491,1,0,0,249
1492,1,0,0,249
1493,1,0,0,249
1494,1,0,0,249
1495,1,0,0,249
1496,1,0,0,249
1497,1,0,0,249
1498,1,0,0,249
1499,1,0,0,249
1500,1,0,0,249
1501,1,0,0,249
1502,1,0,0,249
1503,1,0,0,249
1504,1,0,0,249
1505,1,0,0,249
1506,1,0,0,249
1507,1,0,0,249
1508,1,0,0,249
1509,1,0,0,249
1510,1,0,0,249
1511,1,0,0,249
1512,1,0,0,249
1513,1,0,0,249
1514,1,0,0,249
1515,1,0,0,249
1516,1,0,0,249
1517,1,0,0,249
1518,1,0,0,249
1519,1,0,0,249
1520,1,0,0,249
1521,1,0,0,249
1522,1,0,0,249
1523,1,0,0,249
1524,1,0,0,249
1525,1,0,0,249
1526,1,0,0,249
1527,1,0,0,249
1528,1,0,0,249
1529,1,0,0,249
1530,1,0,0,249
1531,1,0,0,249
1532,1,0,0,249
1533,1,0,0,249
1534,1,0,0,249
1535,1,0,0,249
1536,1,0,0,249
1537,1,0,0,249
1538,1,0,0,249
1539,1,0,0,249
1540,1,0,0,249
1541,1,0,0,249
1542,1,0,0,249
1543,1,0,0,249
1544,1,0,0,249
1545,1,0,0,249
1546,1,0,0,249
1547,1,0,0,249
1548,1,0,0,249
1549,1,0,0,249
1550,1,0,0,249
1551,1,0,0,249
1552,1,0,0,249
1553,1,0,0,249
1554,1,0,0,249
1555,1,0,0,249
1556,1,0,0,249
1557,1,0,0,249
1558,1,0,0,249
1559,1,0,0,249
1560,1,0,0,249
1561,1,0,0,249
1562,1,0,0,249
1563,1,0,0,249
1564,1,0,0,249
1565,1,0,0,249
1566,1,0,0,249
1567,1,0,0,249
1568,1,0,0,249
1569,1,0,0,249
1570,1,0,0,249
1571,1,0,0,249
1572,1,0,0,249
1573,1,0,0,249
1574,1,0,0,249
1575,1,0,0,249
1576,1,0,0,249
1577,1,0,0,249
1578,1,0,0,249
1579,1,0,0,249
1580,1,0,0,249
1581,1,0,0,249
1582,1,0,0,249
1583,1,0,0,249
1584,1,0,0,249
1585,1,0,0,249
1586,1,0,0,249
1587,1,0,0,249
1588,1,0,0,249
1589,1,0,0,249
1590,1,0,0,249
1591,1,0,0,249
1592,1,0,0,249
1593,1,0,0,249
1594,1,0,0,249
1595,1,0,0,249
1596,1,0,0,249
1597,1,0,0,249
1598,1,0,0,249
1599,1,0,0,249
1600,1,0,0,249
1601,1,0,0,249
1602,1,0,0,249
1603,1,0,0,249
1604,1,0,0,249
1605,1,0,0,249
1606,1,0,0,249
1607,1,0,0,249
1608,1,0,0,249
1609,1,0,0,249
1610,1,0,0,249
1611,1,0,0,249
1612,1,0,0,249
1613,1,0,0,249
1614,1,0,0,249
1615,1,0,0,249
1616,1,0,0,249
1617,1,0,0,249
1618,1,0,0,249
1619,1,0,0,249
1620,1,0,0,249
1621,1,0,0,249
1622,1,0,0,249
1623,1,0,0,249
1624,1,0,0,249
1625,1,0,0,249
1626,1,0,0,249
1627,1,0,0,249
1628,1,0,0,249
1629,1,0,0,249
1630,1,0,0,249
1631,1,0,0,249
1632,1,0,0,249
1633,1,0,0,249
1634,1,0,0,249
1635,1,0,0,249
1636,1,0,0,249
1637,1,0,0,249
1638,1,0,0,249
1639,1,0,0,249
1640,1,0,0,249
1641,1,0,0,249
1642,1,0,0,249
1643,1,0,0,249
1644,1,0,0,249
1645,1,0,0,249
1646,1,0,0,249
1647,1,0,0,249
1648,1,0,0,249
1649,1,0,0,249
1650,1,0,0,249
1651,1,0,0,249
1652,1,0,0,249
1653,1,0,0,249
1654,1,0,0,249
1655,1,0,0,249
1656,1,0,0,249
1657,1,0,0,249
1658,1,0,0,249
1659,1,0,0,249
1660,1,0,0,249
1661,1,0,0,249
1662,1,0,0,249
1663,1,0,0,249
1664,1,0,0,249
1665,1,0,0,249
1666,1,0,0,249
1667,1,0,0,249
1668,1,0,0,249
1669,1,0,0,249
1670,1,0,0,249
1671,1,0,0,249
1672,1,0,0,249
1673,1,0,0,249
1674,1,0,0,249
1675,1,0,0,249
1676,1,0,0,249
1677,1,0,0,249
1678,1,0,0,249
1679,1,0,0,249
1680,1,0,0,249
1681,1,0,0,249
1682,1,0,0,249
1683,1,0,0,249
1684,1,0,0,249
1685,1,0,0,249
1686,1,0,0,249
1687,1,0,0,249
1688,1,0,0,249
1689,1,0,0,249
1690,1,0,0,249
1691,1,0,0,249
1692,1,0,0,249
1693,1,0,0,249
1694,1,0,0,249
1695,1,0,0,249
1696,1,0,0,249
1697,1,0,0,249
1698,1,0,0,249
1699,1,0,0,249
1700,1,0,0,249
1701,1,0,0,249
1702,1,0,0,249
1703,1,0,0,249
1704,1,0,0,249
1705,1,0,0,249
1706,1,0,0,249
1707,1,0,0,249
1708,1,0,0,249
1709,1,0,0,249
1710,1,0,0,249
1711,1,0,0,249
1712,1,0,0,249
1713,1,0,0,249
1714,1,0,0,249
1715,1,0,0,249
1716,1,0,0,249
1717,1,0,0,249
1718,1,0,0,249
1719,1,0,0,249
1720,1,0,0,249
1721,1,0,0,249
1722,1,0,0,249
1723,1,0,0,249
1724,1,0,0,249
1725,1,0,0,249
1726,1,0,0,249
1727,1,0,0,249
1728,1,0,0,249
1729,1,0,0,249
1730,1,0,0,249
1731,1,0,0,249
1732,1,0,0,249
1733,1,0,0,249
1734,1,0,0,249
1735,1,0,0,249
1736,1,0,0,249
1737,1,0,0,249
1738,1,0,0,249
1739,1,0,0,249
1740,1,0,0,249
1741,1,0,0,249
1742,1,0,0,249
1743,1,0,0,249
1744,1,0,0,249
1745,1,0,0,249
1746,1,0,0,249
1747,1,0,0,249
1748,1,0,0,249
1749,1,0,0,249
1750,1,0,0,249
1751,1,0,0,249
1752,1,0,0,249
1753,1,0,0,249
1754,1,0,0,249
1755,1,0,0,249
1756,1,0,0,249
1757,1,0,0,249
1758,1,0,0,249
1759,1,0,0,249
1760,1,0,0,249
1761,1,0,0,249
1762,1,0,0,249
1763,1,0,0,249
1764,1,0,0,249
1765,1,0,0,249
1766,1,0,0,249
1767,1,0,0,249
1768,1,0,0,249
1769,1,0,0,249
1770,1,0,0,249
1771,1,0,0,249
1772,1,0,0,249
1773,1,0,0,249
1774,1,0,0,249
1775,1,0,0,249
1776,1,0,0,249
1777,1,0,0,249
1778,1,0,0,249
1779,1,0,0,249
1780,1,0,0,249
1781,1,0,0,249
1782,1,0,0,249
1783,1,0,0,249
1784,1,0,0,249
1785,1,0,0,249
1786,1,0,0,249
1787,1,0,0,249
1788,1,0,0,249
1789,1,0,0,249
1790,1,0,0,249
1791,1,0,0,249
1792,1,0,0,249
1793,1,0,0,249
1794,1,0,0,249
1795,1,0,0,249
1796,1,0,0,249
1797,1,0,0,249
1798,1,0,0,249
1799,1,0,0,249
1800,1,0,0,249
1801,1,0,0,249
1802,1,0,0,249
1803,1,0,0,249
1804,1,0,0,249
1805,1,0,0,249
1806,1,0,0,249
1807,1,0,0,249
1808,1,0,0,249
1809,1,0,0,249
1810,1,0,0,249
1811,1,0,0,249
1812,1,0,0,249
1813,1,0,0,249
1814,1,0,0,249
1815,1,0,0,249
1816,1,0,0,249
1817,1,0,0,249
1818,1,0,0,249
1819,1,0,0,249
1820,1,0,0,249
1821,1,0,0,249
1822,1,0,0,249
1823,1,0,0,249
1824,1,0,0,249
1825,1,0,0,249
1826,1,0,0,249
1827,1,0,0,249
1828,1,0,0,249
1829,1,0,0,249
1830,1,0,0,249
1831,1,0,0,249
1832,1,0,0,249
1833,1,0,0,249
1834,1,0,0,249
1835,1,0,0,249
1836,1,0,0,249
1837,1,0,0,249
1838,1,0,0,249
1839,1,0,0,249
1840,1,0,0,249
1841,1,0,0,249
1842,1,0,0,249
1843,1,0,0,249
1844,1,0,0,249
1845,1,0,0,249
1846,1,0,0,249
1847,1,0,0,249
1848,1,0,0,249
1849,1,0,0,249
1850,1,0,0,249
1851,1,0,0,249
1852,1,0,0,249
1853,1,0,0,249
1854,1,0,0,249
1855,1,0,0,249
1856,1,0,0,249
1857,1,0,0,249
1858,1,0,0,249
1859,1,0,0,249
1860,1,0,0,249
1861,1,0,0,249
1862,1,0,0,249
1863,1,0,0,249
1864,1,0,0,249
1865,1,0,0,249
1866,1,0,0,249
1867,1,0,0,249
1868,1,0,0,249
1869,1,0,0,249
1870,1,0,0,249
1871,1,0,0,249
1872,1,0,0,249
1873,1,0,0,249
1874,1,0,0,249
1875,1,0,0,249
1876,1,0,0,249
1877,1,0,0,249
1878,1,0,0,249
1879,1,0,0,249
1880,1,0,0,249
1881,1,0,0,249
1882,1,0,0,249
1883,1,0,0,249
1884,1,0,0,249
1885,1,0,0,249
1886,1,0,0,249
1887,1,0,0,249
1888,1,0,0,249
1889,1,0,0,249
1890,1,0,0,249
1891,1,0,0,249
1892,1,0,0,249
1893,1,0,0,249
1894,1,0,0,249
1895,1,0,0,249
1896,1,0,0,249
1897,1,0,0,249
1898,1,0,0,249
1899,1,0,0,249
1900,1,0,0,249
1901,1,0,0,249
1902,1,0,0,249
1903,1,0,0,249
1904,1,0,0,249
1905,1,0,0,249
1906,1,0,0,249
1907,1,0,0,249
1908,1,0,0,249
1909,1,0,0,249
1910,1,0,0,249
1911,1,0,0,249
1912,1,0,0,249
1913,1,0,0,249
1914,1,0,0,249
1915,1,0,0,249
1916,1,0,0,249
1917,1,0,0,249
1918,1,0,0,249
1919,1,0,0,249
1920,1,0,0,249
1921,1,0,0,249
1922,1,0,0,249
1923,1,0,0,249
1924,1,0,0,249
1925,1,0,0,249
1926,1,0,0,249
1927,1,0,0,249
1928,1,0,0,249
1929,1,0,0,249
1930,1,0,0,249
1931,1,0,0,249
1932,1,0,0,249
1933,1,0,0,249
1934,1,0,0,249
1935,1,0,0,249
1936,1,0,0,249
1937,1,0,0,249
1938,1,0,0,249
1939,1,0,0,249
1940,1,0,0,249
1941,1,0,0,249
1942,1,0,0,249
1943,1,0,0,249
1944,1,0,0,249
1945,1,0,0,249
1946,1,0,0,249
1947,1,0,0,249
1948,1,0,0,249
1949,1,0,0,249
1950,1,0,0,249
1951,1,0,0,249
1952,1,0,0,249
1953,1,0,0,249
1954,1,0,0,249
1955,1,0,0,249
1956,1,0,0,249
1957,1,0,0,249
1958,1,0,0,249
1959,1,0,0,249
1960,1,0,0,249
1961,1,0,0,249
1962,1,0,0,249
1963,1,0,0,249
1964,1,0,0,249
1965,1,0,0,249
1966,1,0,0,249
1967,1,0,0,249
1968,1,0,0,249
1969,1,0,0,249
1970,1,0,0,249
1971,1,0,0,249
1972,1,0,0,249
1973,1,0,0,249
1974,1,0,0,249
1975,1,0,0,249
1976,1,0,0,249
1977,1,0,0,249
1978,1,0,0,249
1979,1,0,0,249
1980,1,0,0,249
1981,1,0,0,249
1982,1,0,0,249
1983,1,0,0,249
1984,1,0,0,249
1985,1,0,0,249
1986,1,0,0,249
1987,1,0,0,249
1988,1,0,0,249
1989,1,0,0,249
1990,1,0,0,249
1991,1,0,0,249
1992,1,0,0,249
1993,1,0,0,249
1994,1,0,0,249
1995,1,0,0,249
1996,1,0,0,249
1997,1,0,0,249
1998,1,0,0,249
1999,1,0,0,249
